City,Organization Name,Payment Amount,Grant Type,Grant Sector
Anmore,Coquitlam-Moody Ringette Association,20000,Community Gaming Grant,Sport
Armstrong,Armstrong & District Curling Club,18350,Community Gaming Grant,Sport
Armstrong,Armstrong/Enderby Skating Club,24000,Community Gaming Grant,Sport
Armstrong,Caravan Farm Theatre Society,27500,Community Gaming Grant,Arts and Culture
Armstrong,Interior Provincial Exhibition Association,100000,Community Gaming Grant,Arts and Culture
Atlin,Atlin Historical Society,16900,Community Gaming Grant,Arts and Culture
Atlin,Atlin Recreation Centre,7000,Community Gaming Grant,Sport
Barriere,Barriere and District Heritage Society,3000,Community Gaming Grant,Arts and Culture
Barriere,Barriere Recreation Society,7600,Community Gaming Grant,Sport
Barriere,British Columbia Agricultural Exposition Society,48600,Community Gaming Grant,Arts and Culture
Barriere,North Thompson Fall Fair and Rodeo Association,30600,Community Gaming Grant,Arts and Culture
Bowen Island,Bowen Island Arts Council,18000,Community Gaming Grant,Arts and Culture
Bowen Island,Bowen Island Museum & Archives,22000,Community Gaming Grant,Arts and Culture
Bowen Island,Bowen Island Sport Society,11500,Community Gaming Grant,Sport
Brentwood Bay,Central Saanich Extreme Fastball Club,13500,Community Gaming Grant,Sport
Brentwood Bay,Island Hoppers Precision Skipping Team,3000,Community Gaming Grant,Sport
Britannia Beach,Britannia Mine Museum Society,51000,Community Gaming Grant,Arts and Culture
Burnaby,Arokis Centre of Music Society,6300,Community Gaming Grant,Arts and Culture
Burnaby,B.C. Ringette Association,28500,Community Gaming Grant,Sport
Burnaby,BC School Sports,205000,Community Gaming Grant,Sport
Burnaby,British Columbia Amateur Athletics Association,160000,Community Gaming Grant,Sport
Burnaby,British Columbia Blind Sports and Recreation Association,250000,Community Gaming Grant,Sport
Burnaby,British Columbia Lacrosse Association,184000,Community Gaming Grant,Sport
Burnaby,Burnaby Arts Council,10500,Community Gaming Grant,Arts and Culture
Burnaby,Burnaby Barracuda Summer Aquatics Club,50000,Community Gaming Grant,Sport
Burnaby,Burnaby Baseball Association,21540,Community Gaming Grant,Sport
Burnaby,Burnaby Canoe & Kayak Club,25000,Community Gaming Grant,Sport
Burnaby,Burnaby Field Lacrosse Club,9800,Community Gaming Grant,Sport
Burnaby,Burnaby Girls Soccer Club,7400,Community Gaming Grant,Sport
Burnaby,Burnaby Lyric Opera Society,23000,Community Gaming Grant,Arts and Culture
Burnaby,Burnaby Minor Hockey Association,100000,Community Gaming Grant,Sport
Burnaby,Burnaby Minor Lacrosse Club,36000,Community Gaming Grant,Sport
Burnaby,Burnaby Mountain Mantas Summer Swim Club,55000,Community Gaming Grant,Sport
Burnaby,Burnaby Skating Club,35000,Community Gaming Grant,Sport
Burnaby,Burnaby Speed Skating Club,33000,Community Gaming Grant,Sport
Burnaby,Burnaby Velodrome Club,82000,Community Gaming Grant,Sport
Burnaby,Burnaby Water Polo Club,25750,Community Gaming Grant,Sport
Burnaby,Canada West Field Lacrosse League,35000,Community Gaming Grant,Sport
Burnaby,Canoe Racing BC,43500,Community Gaming Grant,Sport
Burnaby,Canoe Racing BC,46100,Community Gaming Grant,Sport
Burnaby,Charlford House Society for Women,36500,Community Gaming Grant,Human and Social Services
Burnaby,Cliff Avenue United Football Club,100000,Community Gaming Grant,Sport
Burnaby,Curl BC,110000,Community Gaming Grant,Sport
Burnaby,Cycling British Columbia,187000,Community Gaming Grant,Sport
Burnaby,Greater Vancouver Synchronized Skating Club,10500,Community Gaming Grant,Sport
Burnaby,Karate B.C.,76500,Community Gaming Grant,Sport
Burnaby,Korean Evergreen Seniors Society of Canada,2000,Community Gaming Grant,Arts and Culture
Burnaby,Korean Writers' Association of Canada,2800,Community Gaming Grant,Arts and Culture
Burnaby,Nikkei National Museum & Cultural Centre,50000,Community Gaming Grant,Arts and Culture
Burnaby,Pacific Storm Water Polo Club,55000,Community Gaming Grant,Sport
Burnaby,Scandinavian Community Centre Society,21000,Community Gaming Grant,Arts and Culture
Burnaby,Shohei Juku Aikido Canada,15000,Community Gaming Grant,Sport
Burnaby,Skate Canada-British Columbia/Yukon Section,42750,Community Gaming Grant,Sport
Burnaby,Vancouver Finlandia Club,26500,Community Gaming Grant,Arts and Culture
Burnaby,Volleyball BC,122700,Community Gaming Grant,Sport
Burnaby,West Coast Nordic Club,4000,Community Gaming Grant,Sport
Burnaby,West Coast Nordic Club,3000,Community Gaming Grant,Sport
Burnaby,Western Lacrosse Association,49000,Community Gaming Grant,Sport
Burnaby,Wings Gymnastics Society,8500,Community Gaming Grant,Sport
Burns Lake,Lakes District Fair Association,20000,Community Gaming Grant,Arts and Culture
Burns Lake,Lakes District Pony Club,1680,Community Gaming Grant,Sport
Campbell River,Campbell River & District Minor Baseball Association,22000,Community Gaming Grant,Sport
Campbell River,Campbell River and District Museum and Archives Society,62500,Community Gaming Grant,Arts and Culture
Campbell River,Campbell River and District Public Art Gallery,32800,Community Gaming Grant,Arts and Culture
Campbell River,Campbell River Community Arts Council,20000,Community Gaming Grant,Arts and Culture
Campbell River,Campbell River Genealogy Society,2600,Community Gaming Grant,Arts and Culture
Campbell River,Campbell River Gymnastics Association,25000,Community Gaming Grant,Sport
Campbell River,Campbell River Judo Club,8000,Community Gaming Grant,Sport
Campbell River,Campbell River Minor Hockey Association,68000,Community Gaming Grant,Sport
Campbell River,Campbell River Minor Lacrosse Society,10000,Community Gaming Grant,Sport
Campbell River,Campbell River Salmon Festival Society,30000,Community Gaming Grant,Arts and Culture
Campbell River,Campbell River Salmon Kings Summer Swim Society,19000,Community Gaming Grant,Sport
Campbell River,Campbell River Skating Club,30000,Community Gaming Grant,Sport
Campbell River,Campbell River Swim Club,32000,Community Gaming Grant,Sport
Campbell River,Campbell River Wado Ryu Association,3600,Community Gaming Grant,Sport
Campbell River,Campbell River Youth Soccer Association,26200,Community Gaming Grant,Sport
Campbell River,Special Olympics British Columbia Society - Campbell River,5000,Community Gaming Grant,Sport
Castlegar,Castlegar & District Minor Hockey Association,35000,Community Gaming Grant,Sport
Castlegar,Castlegar Hockey Society,15000,Community Gaming Grant,Sport
Castlegar,Castlegar Sculpturewalk Society,14400,Community Gaming Grant,Arts and Culture
Castlegar,Castlegar Skating Club,20000,Community Gaming Grant,Sport
Castlegar,"Kootenay Gallery of Art, History and Science Society",15000,Community Gaming Grant,Arts and Culture
Castlegar,Selkirk Challengers Gymnastics Club,16200,Community Gaming Grant,Sport
Castlegar,SQx Danza,80000,Community Gaming Grant,Arts and Culture
Chase,Chase & District Museum & Archives Society,15000,Community Gaming Grant,Arts and Culture
Chase,Chase and District Curling Club,6000,Community Gaming Grant,Sport
Chemainus,Chemainus & District Baseball Association,5200,Community Gaming Grant,Sport
Chemainus,Chemainus Festival of Murals Society,25000,Community Gaming Grant,Arts and Culture
Chemainus,Chemainus Valley Historical Society,11250,Community Gaming Grant,Arts and Culture
Chemainus,Cowichan Valley Minor Hockey Association,45000,Community Gaming Grant,Sport
Chemainus,Fuller Lake Skating Club,15000,Community Gaming Grant,Sport
Chilliwack,British Columbia Pipers Association,8000,Community Gaming Grant,Arts and Culture
Chilliwack,Canadian Forces Base Chilliwack Historical Society,28450,Community Gaming Grant,Arts and Culture
Chilliwack,Cascadia Wind Ensemble Society,4200,Community Gaming Grant,Arts and Culture
Chilliwack,Cheam Figure Skating Club,32000,Community Gaming Grant,Sport
Chilliwack,Chilliwack & District Agricultural Society,52700,Community Gaming Grant,Arts and Culture
Chilliwack,Chilliwack Centre of Excellence,16000,Community Gaming Grant,Sport
Chilliwack,Chilliwack Curling Club,32000,Community Gaming Grant,Sport
Chilliwack,Chilliwack Lions Club Music and Dance Festival Society,13000,Community Gaming Grant,Arts and Culture
Chilliwack,Chilliwack Minor Baseball Association,45000,Community Gaming Grant,Sport
Chilliwack,Chilliwack Minor Hockey Association,100000,Community Gaming Grant,Sport
Chilliwack,Chilliwack Minor Lacrosse Association,22500,Community Gaming Grant,Sport
Chilliwack,Chilliwack Museum & Historical Society,24400,Community Gaming Grant,Arts and Culture
Chilliwack,Chilliwack Ringette Association,12500,Community Gaming Grant,Sport
Chilliwack,Chilliwack School of Performing Arts,17500,Community Gaming Grant,Arts and Culture
Chilliwack,Chilliwack Symphony Orchestra,34900,Community Gaming Grant,Arts and Culture
Chilliwack,Chilliwack Youth Orchestra Society,4600,Community Gaming Grant,Arts and Culture
Chilliwack,Chilliwack Youth Soccer Association,74000,Community Gaming Grant,Sport
Chilliwack,Hawks Field Lacrosse Club,7000,Community Gaming Grant,Sport
Chilliwack,Sardis Fliers Speed Skating Club,7375,Community Gaming Grant,Sport
Chilliwack,Scouts Canada - 6th Chilliwack Group,10200,Community Gaming Grant,Human and Social Services
Chilliwack,Spartan Swim Club,68000,Community Gaming Grant,Sport
Chilliwack,The Chilliwack Academy of Music,25400,Community Gaming Grant,Arts and Culture
Chilliwack,Vancouver Chamber Music Society,15000,Community Gaming Grant,Arts and Culture
Chilliwack,Yarrow Choral and Performing Arts Society,6000,Community Gaming Grant,Arts and Culture
Clearwater,Raft Mountain Skating Club,10000,Community Gaming Grant,Sport
Cloverdale,Surrey White Rock Ringette Association,25000,Community Gaming Grant,Sport
Comox,Chimo Gymnastics Club,40000,Community Gaming Grant,Sport
Comox,Comox Archives & Museum Society,16500,Community Gaming Grant,Arts and Culture
Comox,Comox Valley Lacrosse Association,11400,Community Gaming Grant,Sport
Comox,Performing Arts BC Festivals Society,20400,Community Gaming Grant,Arts and Culture
Coombs,Arrowsmith Agricultural Association,45000,Community Gaming Grant,Arts and Culture
Coquitlam,B.C. Aquasonics Synchronized Swim Club,23500,Community Gaming Grant,Sport
Coquitlam,Caprice Artistic Swim Club,12500,Community Gaming Grant,Sport
Coquitlam,Coquitlam Ducks Volleyball Club,22500,Community Gaming Grant,Sport
Coquitlam,Coquitlam Heritage Society,34500,Community Gaming Grant,Arts and Culture
Coquitlam,Coquitlam Metro-Ford Soccer Club,100000,Community Gaming Grant,Sport
Coquitlam,Coquitlam Minor Hockey Association,100000,Community Gaming Grant,Sport
Coquitlam,Coquitlam Minor Lacrosse Association,57200,Community Gaming Grant,Sport
Coquitlam,Coquitlam Minor Softball Association,22000,Community Gaming Grant,Sport
Coquitlam,Coquitlam Search and Rescue Society,17000,Community Gaming Grant,Public Safety
Coquitlam,Coquitlam Skating Club,100000,Community Gaming Grant,Sport
Coquitlam,Coquitlam Youth Orchestra,4500,Community Gaming Grant,Arts and Culture
Coquitlam,Kinsmen Club of Coquitlam,18000,Community Gaming Grant,Human and Social Services
Coquitlam,Les Echos Du Pacifique,10000,Community Gaming Grant,Arts and Culture
Coquitlam,Low Entropy Foundation,5000,Community Gaming Grant,Human and Social Services
Coquitlam,Phoenix Vocal and Performing Society,20000,Community Gaming Grant,Arts and Culture
Coquitlam,re:Naissance Opera,9500,Community Gaming Grant,Arts and Culture
Coquitlam,Societe francophone de Maillardville,90000,Community Gaming Grant,Arts and Culture
Coquitlam,Special Olympics British Columbia Society - Coquitlam,15000,Community Gaming Grant,Sport
Coquitlam,The Coquitlam Lions Water Polo Association,18000,Community Gaming Grant,Sport
Coquitlam,The Coquitlam Sharks Aquatic Club,56000,Community Gaming Grant,Sport
Coquitlam,Theatrix Youtheatre Society,38000,Community Gaming Grant,Arts and Culture
Coquitlam,United Rugby Club,11000,Community Gaming Grant,Sport
Courtenay,Comox  Valley  Ringette  Association,8000,Community Gaming Grant,Sport
Courtenay,Comox Valley Aquatic Club,43000,Community Gaming Grant,Sport
Courtenay,Comox Valley Art Gallery,51000,Community Gaming Grant,Arts and Culture
Courtenay,Comox Valley Baseball Association,20000,Community Gaming Grant,Sport
Courtenay,Comox Valley Breakers Women's Hockey,3000,Community Gaming Grant,Sport
Courtenay,Comox Valley Community Arts Council,30000,Community Gaming Grant,Arts and Culture
Courtenay,Comox Valley Curling Club,10000,Community Gaming Grant,Sport
Courtenay,Comox Valley Exhibition Association,45000,Community Gaming Grant,Arts and Culture
Courtenay,Comox Valley Raiders Youth Football Club,25000,Community Gaming Grant,Sport
Courtenay,Comox Valley Skating Club,27000,Community Gaming Grant,Sport
Courtenay,Comox Valley Volleyball Club,11000,Community Gaming Grant,Sport
Courtenay,Comox Valley Youth Music Centre,19350,Community Gaming Grant,Arts and Culture
Courtenay,Courtenay and District Historical Society,47000,Community Gaming Grant,Arts and Culture
Courtenay,Mt. Washington Ski Club,24500,Community Gaming Grant,Sport
Courtenay,Nova Voce Choral Society,10000,Community Gaming Grant,Arts and Culture
Courtenay,The Alberni Project Society,9000,Community Gaming Grant,Arts and Culture
Courtenay,The Comox Valley Minor Hockey Association,100000,Community Gaming Grant,Sport
Courtenay,Valley Charitable Gaming Society,9000,Community Gaming Grant,Human and Social Services
Cowichan Bay,Cowichan Wooden Boat Society,39600,Community Gaming Grant,Arts and Culture
Cranbrook,Cranbrook Amateur Swim Association,18000,Community Gaming Grant,Sport
Cranbrook,Cranbrook and District Arts Council,16500,Community Gaming Grant,Arts and Culture
Cranbrook,"Cranbrook Archives, Museum and Landmark Foundation",43900,Community Gaming Grant,Arts and Culture
Cranbrook,Cranbrook Bandits Baseball Club,6000,Community Gaming Grant,Sport
Cranbrook,Cranbrook Community Theatre Society,10000,Community Gaming Grant,Arts and Culture
Cranbrook,Cranbrook Curling Club,15000,Community Gaming Grant,Sport
Cranbrook,Cranbrook Lacrosse Association,6720,Community Gaming Grant,Sport
Cranbrook,Cranbrook Minor Ball Association,30000,Community Gaming Grant,Sport
Cranbrook,Cranbrook Minor Hockey Association,60000,Community Gaming Grant,Sport
Cranbrook,Cranbrook Skating Club,20000,Community Gaming Grant,Sport
Cranbrook,East Kootenay Volleyball Club,13500,Community Gaming Grant,Sport
Cranbrook,Key City Gymnastics Society,55400,Community Gaming Grant,Sport
Cranbrook,Symphony of the Kootenays Association,19200,Community Gaming Grant,Arts and Culture
Creston,Creston Valley Gymnastics Club,22400,Community Gaming Grant,Sport
Creston,Creston Valley Youth Soccer Association,12000,Community Gaming Grant,Sport
Cumberland,Cumberland and District Historical Society,13600,Community Gaming Grant,Arts and Culture
Dawson Creek,Dawson Creek and District Band Association,8000,Community Gaming Grant,Arts and Culture
Dawson Creek,Dawson Creek and District Exhibition Association,22000,Community Gaming Grant,Arts and Culture
Dawson Creek,Dawson Creek Curling Club,32600,Community Gaming Grant,Sport
Dawson Creek,Dawson Creek Junior Hockey Association,15000,Community Gaming Grant,Sport
Dawson Creek,Dawson Creek Minor Hockey Association,52000,Community Gaming Grant,Sport
Dawson Creek,Dawson Creek Seals Swim Club,39600,Community Gaming Grant,Sport
Dawson Creek,Dawson Creek Senior Hockey Association,15000,Community Gaming Grant,Sport
Dawson Creek,Dawson Creek Speed Skating Club,6900,Community Gaming Grant,Sport
Dawson Creek,Mile Zero Figure Skating Club,38000,Community Gaming Grant,Sport
Dawson Creek,South Peace Art Society,47900,Community Gaming Grant,Arts and Culture
Dawson Creek,Special Olympics British Columbia Society - Dawson Creek,7000,Community Gaming Grant,Sport
Delta,Boundary Bay Bluebacks Swim Club,28000,Community Gaming Grant,Sport
Delta,Delta Choral Society,10000,Community Gaming Grant,Arts and Culture
Delta,Delta Community Band Society,4500,Community Gaming Grant,Arts and Culture
Delta,Delta Community Music School Society,9000,Community Gaming Grant,Arts and Culture
Delta,Delta Deas Rowing Club,17350,Community Gaming Grant,Sport
Delta,Delta Gymnastics Society,100000,Community Gaming Grant,Sport
Delta,Delta Hospice Society,36000,Community Gaming Grant,Human and Social Services
Delta,Delta Lacrosse Association,43000,Community Gaming Grant,Sport
Delta,Delta Minor Ball Hockey Association,20800,Community Gaming Grant,Sport
Delta,Delta Ringette Association,24500,Community Gaming Grant,Sport
Delta,Delta Skating Club,45300,Community Gaming Grant,Sport
Delta,Delta Stage Works Theatre Society,5000,Community Gaming Grant,Arts and Culture
Delta,Delta Sungod Swim Club,42000,Community Gaming Grant,Sport
Delta,Delta Thistle Curling Club,11335,Community Gaming Grant,Sport
Delta,Ladner Minor Baseball Association,25000,Community Gaming Grant,Sport
Delta,Metro Women's Soccer League,5000,Community Gaming Grant,Sport
Delta,North Delta Baseball Association,26000,Community Gaming Grant,Sport
Delta,North Delta Football Association,17000,Community Gaming Grant,Sport
Delta,North Delta Minor Hockey Association,100000,Community Gaming Grant,Sport
Delta,North Delta Sunfish Summer Swim Club,42500,Community Gaming Grant,Sport
Delta,Sidekick Players Club,15000,Community Gaming Grant,Arts and Culture
Delta,South Delta Rams Football Club,3900,Community Gaming Grant,Sport
Delta,Sungod Skating Club,64000,Community Gaming Grant,Sport
Delta,Surrey Sharks Field Hockey Club,12000,Community Gaming Grant,Sport
Delta,Tunnel Town Curling Club,22500,Community Gaming Grant,Sport
Delta,Young People's Opera Society of BC,7500,Community Gaming Grant,Arts and Culture
Duncan,British Columbia Forest Museum,56000,Community Gaming Grant,Arts and Culture
Duncan,Canadian Pony Club - Cowichan Valley,1000,Community Gaming Grant,Sport
Duncan,Cowichan Camerata String Orchestra Society,2600,Community Gaming Grant,Arts and Culture
Duncan,Cowichan Exhibition,30000,Community Gaming Grant,Arts and Culture
Duncan,Cowichan Folk Guild,25000,Community Gaming Grant,Arts and Culture
Duncan,Cowichan Historical Society,33100,Community Gaming Grant,Arts and Culture
Duncan,Cowichan Lawn Bowling Club,6000,Community Gaming Grant,Sport
Duncan,Cowichan Musical Society,12000,Community Gaming Grant,Arts and Culture
Duncan,Cowichan Public Art Gallery Society,5000,Community Gaming Grant,Arts and Culture
Duncan,Cowichan Rugby Club,10000,Community Gaming Grant,Sport
Duncan,Cowichan Valley Arts Council,15000,Community Gaming Grant,Arts and Culture
Duncan,Cowichan Valley Breakers Summer Swim Team Club,11000,Community Gaming Grant,Sport
Duncan,Cowichan Valley Football Association,15900,Community Gaming Grant,Sport
Duncan,Duncan Cowichan Festival Society,18500,Community Gaming Grant,Arts and Culture
Duncan,Duncan Dynamics Gymnastics Club,19500,Community Gaming Grant,Sport
Duncan,Duncan Junior Baseball Association,46800,Community Gaming Grant,Sport
Duncan,Duncan Swim Team Society,48400,Community Gaming Grant,Sport
Duncan,Maple Bay Rowing Club,27920,Community Gaming Grant,Sport
Dunster,Robson Valley Music Society,4000,Community Gaming Grant,Arts and Culture
Dunster,Wishbone Productions,5000,Community Gaming Grant,Arts and Culture
Enderby,Enderby & District Curling Club,19500,Community Gaming Grant,Sport
Enderby,North Okanagan Minor Hockey Association,25500,Community Gaming Grant,Sport
Esquimalt,Esquimalt Speed Skating Club,5200,Community Gaming Grant,Sport
Fernie,Fernie Alpine Ski Team,30000,Community Gaming Grant,Sport
Fernie,Fernie and District Historical Society,10000,Community Gaming Grant,Arts and Culture
Fort Langley,BC Farm Museum Association,20000,Community Gaming Grant,Arts and Culture
Fort Langley,Fort Langley Youth Rowing Society,8050,Community Gaming Grant,Sport
Fort Langley,The Fort Gallery,14500,Community Gaming Grant,Arts and Culture
Fort St James,Community Arts Council of Fort St. James,7500,Community Gaming Grant,Arts and Culture
Fort St John,Community Arts Council of Fort St. John,10500,Community Gaming Grant,Arts and Culture
Fort St John,Fort St John Minor Lacrosse Association,4980,Community Gaming Grant,Sport
Fort St John,Fort St. John Figure Skating Club,40000,Community Gaming Grant,Sport
Fort St John,Fort St. John Inconnu Swim Club,26000,Community Gaming Grant,Sport
Fort St John,Fort St. John Public Library Association,15000,Community Gaming Grant,Human and Social Services
Fort St John,North Peace Gymnastics Association,30000,Community Gaming Grant,Sport
Fort St John,North Peace Historical Society,15000,Community Gaming Grant,Arts and Culture
Fort St John,Stage North Theatre Society,24500,Community Gaming Grant,Arts and Culture
Fruitvale,Beaver Valley Figure Skating Club,16200,Community Gaming Grant,Sport
Gabriola Island,Gabriola Arts Council,38700,Community Gaming Grant,Arts and Culture
Gabriola Island,Gabriola Historical and Museum Society,16100,Community Gaming Grant,Arts and Culture
Gabriola Island,W. E. Theatre Society,20000,Community Gaming Grant,Arts and Culture
Galiano Island,Access to Media Education Society,20000,Community Gaming Grant,Arts and Culture
Ganges,Salt Spring Island Youth Soccer Association,20000,Community Gaming Grant,Sport
Gibsons,Coast String Fiddlers Association,8000,Community Gaming Grant,Arts and Culture
Gibsons,Deer Crossing - The Art Farm Society,48400,Community Gaming Grant,Arts and Culture
Gibsons,Gibsons Sailing Club,17000,Community Gaming Grant,Sport
Gibsons,Sunshine Coast Youth Soccer Association,45000,Community Gaming Grant,Sport
Gibsons,The Sunshine Coast Skating Club,35000,Community Gaming Grant,Sport
Gold River,Gold River Skating Club,10000,Community Gaming Grant,Sport
Golden,Golden & District Historical Society,21500,Community Gaming Grant,Arts and Culture
Golden,Golden District Arts Council,30500,Community Gaming Grant,Arts and Culture
Golden,Golden Dolphins Summer Swim Club Society,12300,Community Gaming Grant,Sport
Golden,Golden Figure Skating Club,13500,Community Gaming Grant,Sport
Golden,Golden Junior Hockey Society,15000,Community Gaming Grant,Sport
Golden,Golden Kicking Horse Alpine Team Society,14000,Community Gaming Grant,Sport
Golden,Golden Nordic Ski Club Society,10075,Community Gaming Grant,Sport
Golden,Golden Shotokan Karate Society,5500,Community Gaming Grant,Sport
Golden,Kicking Horse Gymnastics Club,12270,Community Gaming Grant,Sport
Grand Forks,Grand Forks Art Gallery Society,38000,Community Gaming Grant,Arts and Culture
Grand Forks,Grand Forks Minor Hockey Association,15800,Community Gaming Grant,Sport
Grand Forks,Grand Forks Piranha Swim Club Society,15000,Community Gaming Grant,Sport
Grindrod,Runaway Moon Theatre Arts Society,22000,Community Gaming Grant,Arts and Culture
Harrison Hot Springs,Harrison Festival Society,60000,Community Gaming Grant,Arts and Culture
Hope,Hope & District Arts Council,20200,Community Gaming Grant,Arts and Culture
Hope,Hope & District Figure Skating Club,11000,Community Gaming Grant,Sport
Hope,RiverMonsters Swim Club,13200,Community Gaming Grant,Sport
Hornby Island,Hornby Island Arts Council,20200,Community Gaming Grant,Arts and Culture
Houston,Houston Figure Skating Club,7500,Community Gaming Grant,Sport
Houston,Houston Ringette Association,11400,Community Gaming Grant,Sport
Hudson's Hope,Hudson's Hope Historical Society,12400,Community Gaming Grant,Arts and Culture
Invermere,Columbia Valley Arts Council,29000,Community Gaming Grant,Arts and Culture
Invermere,Columbia Valley Skating Club,24500,Community Gaming Grant,Sport
Invermere,Peaks Gymnastics Society,19350,Community Gaming Grant,Sport
Invermere,The Invermere District Curling Club Society,21400,Community Gaming Grant,Sport
Invermere,Toby Creek Nordic Ski Club,6250,Community Gaming Grant,Sport
Invermere,Windermere Valley Ski Club,10500,Community Gaming Grant,Sport
Kamloops,Association Francophone de Kamloops,32000,Community Gaming Grant,Arts and Culture
Kamloops,Centre for Seniors Information BC Interior Society,70000,Community Gaming Grant,Human and Social Services
Kamloops,Chamber Musicians of Kamloops,2500,Community Gaming Grant,Arts and Culture
Kamloops,Greater Kamloops BMX Society,1900,Community Gaming Grant,Sport
Kamloops,Kamloops and District Minor Baseball Association,30600,Community Gaming Grant,Sport
Kamloops,Kamloops Aquatics Club,75000,Community Gaming Grant,Sport
Kamloops,Kamloops Art Gallery,84000,Community Gaming Grant,Arts and Culture
Kamloops,Kamloops Arts Council,17000,Community Gaming Grant,Arts and Culture
Kamloops,Kamloops Broncos Football Club,7500,Community Gaming Grant,Sport
Kamloops,Kamloops Exhibition Association,53000,Community Gaming Grant,Arts and Culture
Kamloops,Kamloops Gymnastics/Trampoline Centre,95000,Community Gaming Grant,Sport
Kamloops,Kamloops Long Blades Association,18000,Community Gaming Grant,Sport
Kamloops,Kamloops Minor Hockey Association,175000,Community Gaming Grant,Sport
Kamloops,Kamloops Minor Lacrosse Association,22000,Community Gaming Grant,Sport
Kamloops,Kamloops Music Collective Society,36800,Community Gaming Grant,Arts and Culture
Kamloops,Kamloops Pipe Band Society,6300,Community Gaming Grant,Arts and Culture
Kamloops,Kamloops Players Society,13200,Community Gaming Grant,Arts and Culture
Kamloops,Kamloops Rowing Club,2600,Community Gaming Grant,Sport
Kamloops,Kamloops Skating Club,26000,Community Gaming Grant,Sport
Kamloops,Kamloops Summer Swim Club,15400,Community Gaming Grant,Sport
Kamloops,Kamloops Sunrays Synchronized Swim Club,15500,Community Gaming Grant,Sport
Kamloops,Kamloops Symphony Society,61500,Community Gaming Grant,Arts and Culture
Kamloops,Kamloops Track and Field Club,24000,Community Gaming Grant,Sport
Kamloops,Kamloops Water Ski Club,5500,Community Gaming Grant,Sport
Kamloops,Kamloops Youth Soccer Association,40000,Community Gaming Grant,Sport
Kamloops,North Kamloops Lions Club,1000,Community Gaming Grant,Human and Social Services
Kamloops,Sun Peaks Alpine Club,28800,Community Gaming Grant,Sport
Kamloops,Valleyview Skating Club,30000,Community Gaming Grant,Sport
Kamloops,Western Canada Theatre Company Society,88500,Community Gaming Grant,Arts and Culture
Kaslo,Kaslo Curling Club,4850,Community Gaming Grant,Sport
Kaslo,Langham Cultural Society,14000,Community Gaming Grant,Arts and Culture
Kelowna,Arts Council of the Central Okanagan,20800,Community Gaming Grant,Arts and Culture
Kelowna,BC Snowboard Association,36800,Community Gaming Grant,Sport
Kelowna,Central Okanagan Heritage Society,19500,Community Gaming Grant,Arts and Culture
Kelowna,Central Okanagan Minor Baseball Association,50000,Community Gaming Grant,Sport
Kelowna,Central Okanagan Sailing Association,29000,Community Gaming Grant,Sport
