FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PERCENTILE_50TH,PERCENTILE_90TH
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Biopsy in OR,5,33,1.9,5.8
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Bladder Surgery,192,248,6.3,36.4
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Bowel Resection,5,112,3.1,7.8
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Breast Biopsy,15,124,2.8,8.2
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Breast Reconstruction,22,35,6.4,30.8
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Breast Reduction,249,172,33.4,77.2
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Cholecystectomy,75,237,8,20.6
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Colostomy/Ileostomy,,9,4.6,19.8
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,D&C and Related Surgery,18,63,8.7,26.8
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Dental Surgery,26,172,4.1,8.1
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Endarterectomy,12,80,4.5,11.1
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Examination Under Anaesthetic,8,12,5.2,11.8
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Excision Gynecomastia,10,31,15,71.1
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Fallopian Tube/Ovarian Surgery,112,184,10.6,25.2
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Fistula Repair - Non Vascular,9,15,18.7,38.5
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Foot/Ankle Surgery,,6,27.7,46.4
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Fracture Repair,6,29,0.6,5.8
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hand/Wrist Surgery,34,56,8.1,26.2
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hernia Repair - Abdominal,134,318,12.9,27.6
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hip Replacement,24,81,11,23.9
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Kidney/Bladder Stone Removal,,9,2.9,15.2
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee - ACL Repair,23,45,10.7,22.1
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee Arthroscopy,114,255,23,34.9
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee Replacement,90,176,15,32
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Laparoscopy,34,58,9.2,23.6
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Laryngoscopy,,15,4,6.3
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Lipectomy,,,10.4,15
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Male Reproductive Surgery,32,16,9.4,37.6
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Mastectomy,6,73,2.1,5.4
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Nasal Surgery,28,49,10.9,43.3
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Nerve Surgery,,22,3.1,6.8
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Eye Surgery,18,33,26.9,59.9
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Joint Reconstruction,8,13,24.7,26.5
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Orthopaedic Surgery,69,158,8.1,32.2
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Urology Surgery,39,110,5,23
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Parotidectomy,,17,5,9.7
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Prostate Surgery,146,159,12.4,38.1
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Rectal Surgery,22,42,14.5,29.4
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Shoulder Surgery,41,80,5.4,25.3
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Sinus Surgery,33,60,9.7,20.5
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Skin Surgery,7,16,4.1,22.4
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Skin Tumour Removal,45,105,5.9,34.3
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Sphincterotomy,9,16,21.2,38.4
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Tendon Surgery,7,16,0.9,4.7
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Thyroidectomy,11,96,5.2,12.9
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Tonsillectomy/Adenoidectomy,11,17,30.7,41.5
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Tympanoplasty,11,9,10.4,43
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Uterine Surgery,175,344,8.2,28
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Vaginal Repair,33,25,9.7,21.1
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Varicose Veins Ligation/Stripping,69,81,3,23.9
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Vascular Bypass Graft - Non Cardiac,9,67,6,11.9
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Vascular Surgery - Other,,69,3.1,12.4
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Wound/Laceration Care,17,29,11,35.2
2009/2010,Fraser,All Facilities,Abdominoplasty,21,26,11.6,20.4
2009/2010,Fraser,All Facilities,All Other Procedures,1577,6209,3.7,16.3
2009/2010,Fraser,All Facilities,All Procedures,22100,60145,6,27.7
2009/2010,Fraser,All Facilities,Aortic Aneurysm Repair,59,87,4.9,19.6
2009/2010,Fraser,All Facilities,Bariatric Surgery,14,35,4.7,12.1
2009/2010,Fraser,All Facilities,Biopsy in OR,50,385,2,5.7
2009/2010,Fraser,All Facilities,Bladder Surgery,626,1733,4.3,25.7
2009/2010,Fraser,All Facilities,Bowel Resection,90,749,2.6,7.9
2009/2010,Fraser,All Facilities,Breast Biopsy,68,801,2.1,5.9
2009/2010,Fraser,All Facilities,Breast Reconstruction,79,243,6.3,24.7
2009/2010,Fraser,All Facilities,Breast Reduction,608,612,17.1,62.4
2009/2010,Fraser,All Facilities,Cataract Surgery,6540,15369,11.1,35.6
2009/2010,Fraser,All Facilities,Cholecystectomy,596,2116,4.6,19.6
2009/2010,Fraser,All Facilities,Colostomy/Ileostomy,31,155,5.7,19.2
2009/2010,Fraser,All Facilities,Cone Biopsy,30,243,3,8.9
2009/2010,Fraser,All Facilities,Cranial Surgery,14,235,0.9,4.6
2009/2010,Fraser,All Facilities,Cyst/Ganglion Removal,47,199,6.6,20.9
2009/2010,Fraser,All Facilities,D&C and Related Surgery,263,990,3.9,16.9
2009/2010,Fraser,All Facilities,Dental Surgery,241,632,5,23.5
2009/2010,Fraser,All Facilities,Endarterectomy,21,168,3.1,10.1
2009/2010,Fraser,All Facilities,Esophagectomy,,29,1.1,2.8
2009/2010,Fraser,All Facilities,Examination Under Anaesthetic,42,155,3.7,16.4
2009/2010,Fraser,All Facilities,Excision Gynecomastia,39,94,13.2,62.7
2009/2010,Fraser,All Facilities,Facial Bone Reconstruction,45,164,4,14.8
2009/2010,Fraser,All Facilities,Fallopian Tube/Ovarian Surgery,493,1080,6.7,24.7
2009/2010,Fraser,All Facilities,Fistula Repair - Non Vascular,29,81,3.7,21.1
2009/2010,Fraser,All Facilities,Foot/Ankle Surgery,68,163,10.9,43.6
2009/2010,Fraser,All Facilities,Fracture Repair,60,646,0.3,4
2009/2010,Fraser,All Facilities,Free Flap Graft,,11,4,9
2009/2010,Fraser,All Facilities,Hand/Wrist Surgery,190,521,5.9,21.1
2009/2010,Fraser,All Facilities,Hernia Repair - Abdominal,1273,3078,7.3,26.9
2009/2010,Fraser,All Facilities,Hernia Repair - Hiatal,41,47,6.1,15.7
2009/2010,Fraser,All Facilities,Hip Replacement,260,748,10.2,26.8
2009/2010,Fraser,All Facilities,Kidney/Bladder Stone Removal,26,130,3,15.1
2009/2010,Fraser,All Facilities,Knee - ACL Repair,227,436,10.1,26.9
2009/2010,Fraser,All Facilities,Knee - Meniscectomy,7,10,8.6,22.1
2009/2010,Fraser,All Facilities,Knee Arthroscopy,963,2803,5.9,29.9
2009/2010,Fraser,All Facilities,Knee Replacement,773,1563,13,35
2009/2010,Fraser,All Facilities,Laparoscopy,167,598,4.3,18.5
2009/2010,Fraser,All Facilities,Laparotomy,16,212,2.9,12.1
2009/2010,Fraser,All Facilities,Laryngoscopy,34,138,2.9,10.2
2009/2010,Fraser,All Facilities,Lens & Vitreous (non-cataract) Surgery,233,1201,1.9,14.4
2009/2010,Fraser,All Facilities,Ligament Surgery,14,91,8,25
2009/2010,Fraser,All Facilities,Lipectomy,,22,7.7,28.9
2009/2010,Fraser,All Facilities,Lung Surgery,14,107,2.7,5.4
2009/2010,Fraser,All Facilities,Male Reproductive Surgery,80,184,3.9,21.3
2009/2010,Fraser,All Facilities,Mastectomy,79,812,2,6.1
2009/2010,Fraser,All Facilities,Mastoidectomy,21,34,8.6,19.8
2009/2010,Fraser,All Facilities,Nasal Surgery,693,825,11,42.5
2009/2010,Fraser,All Facilities,Nerve Surgery,135,243,6.7,22.7
2009/2010,Fraser,All Facilities,Other Eye Surgery,198,537,6,35.9
2009/2010,Fraser,All Facilities,Other Joint Reconstruction,64,167,12.1,31.1
2009/2010,Fraser,All Facilities,Other Orthopaedic Surgery,478,1420,6.1,29.3
2009/2010,Fraser,All Facilities,Other Urology Surgery,159,701,3.7,15
2009/2010,Fraser,All Facilities,Parotidectomy,20,83,4.7,13.9
2009/2010,Fraser,All Facilities,Prostate Surgery,560,1366,5.7,25
2009/2010,Fraser,All Facilities,Rectal Surgery,187,323,8,26.2
2009/2010,Fraser,All Facilities,Scope of Chest,21,149,2,6.7
2009/2010,Fraser,All Facilities,Shoulder Surgery,310,657,11.6,32.1
2009/2010,Fraser,All Facilities,Shunt Insertion/Removal,,46,0.9,3.5
2009/2010,Fraser,All Facilities,Sinus Surgery,346,646,11.4,50.4
2009/2010,Fraser,All Facilities,Skin Surgery,24,150,1,19.1
2009/2010,Fraser,All Facilities,Skin Tumour Removal,301,995,3.4,20.9
2009/2010,Fraser,All Facilities,Sphincterotomy,28,58,5.4,35.1
2009/2010,Fraser,All Facilities,Spinal/Back Surgery,594,640,8.1,39.4
2009/2010,Fraser,All Facilities,Tendon Surgery,38,213,0.3,7.6
2009/2010,Fraser,All Facilities,Thyroidectomy,58,356,4.6,13.8
2009/2010,Fraser,All Facilities,Tonsillectomy/Adenoidectomy,206,352,10.9,29.5
2009/2010,Fraser,All Facilities,Tympanoplasty,88,108,9,30.3
2009/2010,Fraser,All Facilities,Uterine Surgery,839,2481,6,21.9
2009/2010,Fraser,All Facilities,Vaginal Repair,174,314,9.6,37
2009/2010,Fraser,All Facilities,Varicose Veins Ligation/Stripping,202,223,5,48.6
2009/2010,Fraser,All Facilities,Vascular Bypass Graft - Non Cardiac,32,169,3.4,13.2
2009/2010,Fraser,All Facilities,Vascular Surgery - Other,43,334,2.1,6.5
2009/2010,Fraser,All Facilities,Wound/Laceration Care,122,422,3.1,19.9
2009/2010,Fraser,Burnaby Hospital,All Other Procedures,223,771,4.7,20.3
2009/2010,Fraser,Burnaby Hospital,All Procedures,2944,7143,6.4,33
2009/2010,Fraser,Burnaby Hospital,Biopsy in OR,,25,2.6,5.1
2009/2010,Fraser,Burnaby Hospital,Bladder Surgery,48,212,4,18.5
2009/2010,Fraser,Burnaby Hospital,Bowel Resection,16,100,2,7.5
2009/2010,Fraser,Burnaby Hospital,Breast Biopsy,9,81,2,4
2009/2010,Fraser,Burnaby Hospital,Breast Reconstruction,7,9,7.9,26.1
2009/2010,Fraser,Burnaby Hospital,Breast Reduction,21,36,18.4,26.4
2009/2010,Fraser,Burnaby Hospital,Cataract Surgery,899,1952,9,41.1
2009/2010,Fraser,Burnaby Hospital,Cholecystectomy,75,164,6,33.9
2009/2010,Fraser,Burnaby Hospital,Colostomy/Ileostomy,5,28,4.1,12.8
2009/2010,Fraser,Burnaby Hospital,Cyst/Ganglion Removal,19,39,5.9,15.7
2009/2010,Fraser,Burnaby Hospital,D&C and Related Surgery,9,45,4.3,15.2
2009/2010,Fraser,Burnaby Hospital,Dental Surgery,,22,3.4,13.5
2009/2010,Fraser,Burnaby Hospital,Examination Under Anaesthetic,,19,8,34.1
2009/2010,Fraser,Burnaby Hospital,Excision Gynecomastia,,,7.9,7.9
2009/2010,Fraser,Burnaby Hospital,Facial Bone Reconstruction,,,0.4,0.4
2009/2010,Fraser,Burnaby Hospital,Fallopian Tube/Ovarian Surgery,38,97,6.3,20.5
2009/2010,Fraser,Burnaby Hospital,Fistula Repair - Non Vascular,10,,5.9,11.9
2009/2010,Fraser,Burnaby Hospital,Foot/Ankle Surgery,12,27,6.7,27.4
2009/2010,Fraser,Burnaby Hospital,Hand/Wrist Surgery,52,89,7.7,17.1
2009/2010,Fraser,Burnaby Hospital,Hernia Repair - Abdominal,107,293,5,27.9
2009/2010,Fraser,Burnaby Hospital,Hip Replacement,45,157,9.1,22.4
2009/2010,Fraser,Burnaby Hospital,Kidney/Bladder Stone Removal,,6,2.8,15.4
2009/2010,Fraser,Burnaby Hospital,Knee - ACL Repair,54,98,11.6,33.6
2009/2010,Fraser,Burnaby Hospital,Knee Arthroscopy,138,452,9,20.7
2009/2010,Fraser,Burnaby Hospital,Knee Replacement,110,257,12.6,27.7
2009/2010,Fraser,Burnaby Hospital,Laparoscopy,17,49,10,23.3
2009/2010,Fraser,Burnaby Hospital,Laparotomy,,21,2.9,14
2009/2010,Fraser,Burnaby Hospital,Laryngoscopy,9,26,2,11.8
2009/2010,Fraser,Burnaby Hospital,Lens & Vitreous (non-cataract) Surgery,62,172,2.8,45.5
2009/2010,Fraser,Burnaby Hospital,Ligament Surgery,5,5,1,7.2
2009/2010,Fraser,Burnaby Hospital,Mastectomy,,46,1.8,7.8
2009/2010,Fraser,Burnaby Hospital,Mastoidectomy,6,8,3.9,27.3
2009/2010,Fraser,Burnaby Hospital,Nasal Surgery,172,192,10.4,52.7
2009/2010,Fraser,Burnaby Hospital,Nerve Surgery,,9,4.3,23.5
2009/2010,Fraser,Burnaby Hospital,Other Eye Surgery,40,110,4.6,33.3
2009/2010,Fraser,Burnaby Hospital,Other Joint Reconstruction,5,13,6.6,20.3
2009/2010,Fraser,Burnaby Hospital,Other Orthopaedic Surgery,31,79,7,17.9
2009/2010,Fraser,Burnaby Hospital,Other Urology Surgery,24,115,4.3,14.5
2009/2010,Fraser,Burnaby Hospital,Prostate Surgery,219,364,6.1,21.8
2009/2010,Fraser,Burnaby Hospital,Rectal Surgery,19,35,9,27.1
2009/2010,Fraser,Burnaby Hospital,Shoulder Surgery,43,103,12.1,28.9
2009/2010,Fraser,Burnaby Hospital,Sinus Surgery,165,292,8,67.4
2009/2010,Fraser,Burnaby Hospital,Skin Tumour Removal,30,51,2.3,9.7
2009/2010,Fraser,Burnaby Hospital,Sphincterotomy,,5,13.1,31.5
2009/2010,Fraser,Burnaby Hospital,Spinal/Back Surgery,,24,1.1,5
2009/2010,Fraser,Burnaby Hospital,Tendon Surgery,,12,0.4,1.1
2009/2010,Fraser,Burnaby Hospital,Thyroidectomy,,20,5.4,35.6
2009/2010,Fraser,Burnaby Hospital,Tonsillectomy/Adenoidectomy,55,78,8.5,35.8
2009/2010,Fraser,Burnaby Hospital,Tympanoplasty,21,23,1.7,10.4
2009/2010,Fraser,Burnaby Hospital,Uterine Surgery,70,213,6,20.1
2009/2010,Fraser,Burnaby Hospital,Vaginal Repair,14,39,5.4,17
2009/2010,Fraser,Burnaby Hospital,Vascular Surgery - Other,,6,1.2,2.4
2009/2010,Fraser,Burnaby Hospital,Wound/Laceration Care,,10,2.4,16.2
2009/2010,Fraser,Chilliwack General Hospital,All Other Procedures,108,370,5,15.3
2009/2010,Fraser,Chilliwack General Hospital,All Procedures,2407,7543,10.3,28.3
2009/2010,Fraser,Chilliwack General Hospital,Biopsy in OR,,22,1.6,8.2
2009/2010,Fraser,Chilliwack General Hospital,Bladder Surgery,49,156,4.5,23.1
2009/2010,Fraser,Chilliwack General Hospital,Bowel Resection,,62,2.9,6
2009/2010,Fraser,Chilliwack General Hospital,Breast Biopsy,,115,2.9,5.7
2009/2010,Fraser,Chilliwack General Hospital,Cataract Surgery,1691,4497,15.1,32.7
2009/2010,Fraser,Chilliwack General Hospital,Cholecystectomy,21,142,4,9.4
2009/2010,Fraser,Chilliwack General Hospital,Colostomy/Ileostomy,,7,6.6,14.1
2009/2010,Fraser,Chilliwack General Hospital,Cone Biopsy,5,61,2.3,6.1
2009/2010,Fraser,Chilliwack General Hospital,D&C and Related Surgery,12,49,6.6,21.9
2009/2010,Fraser,Chilliwack General Hospital,Dental Surgery,,7,13.3,19
2009/2010,Fraser,Chilliwack General Hospital,Examination Under Anaesthetic,,11,1.1,6.6
2009/2010,Fraser,Chilliwack General Hospital,Excision Gynecomastia,,,3.6,11
2009/2010,Fraser,Chilliwack General Hospital,Fallopian Tube/Ovarian Surgery,50,91,4.6,18.3
2009/2010,Fraser,Chilliwack General Hospital,Foot/Ankle Surgery,5,8,6.9,23.5
2009/2010,Fraser,Chilliwack General Hospital,Fracture Repair,,19,4,6.6
2009/2010,Fraser,Chilliwack General Hospital,Hand/Wrist Surgery,5,56,3.5,13.4
2009/2010,Fraser,Chilliwack General Hospital,Hernia Repair - Abdominal,33,275,5,13.2
2009/2010,Fraser,Chilliwack General Hospital,Hip Replacement,14,117,6.7,14.8
2009/2010,Fraser,Chilliwack General Hospital,Kidney/Bladder Stone Removal,,10,3.1,4.3
2009/2010,Fraser,Chilliwack General Hospital,Knee - ACL Repair,14,49,9.9,21.3
2009/2010,Fraser,Chilliwack General Hospital,Knee Arthroscopy,20,192,5.3,17.1
2009/2010,Fraser,Chilliwack General Hospital,Knee Replacement,26,210,6.2,16.1
2009/2010,Fraser,Chilliwack General Hospital,Laparoscopy,18,48,5.9,20.1
2009/2010,Fraser,Chilliwack General Hospital,Laparotomy,,17,2.1,8.8
2009/2010,Fraser,Chilliwack General Hospital,Laryngoscopy,,,1.9,3.2
2009/2010,Fraser,Chilliwack General Hospital,Male Reproductive Surgery,9,16,5.1,18.7
2009/2010,Fraser,Chilliwack General Hospital,Mastectomy,,41,2,5
2009/2010,Fraser,Chilliwack General Hospital,Mastoidectomy,7,15,10.1,19.2
2009/2010,Fraser,Chilliwack General Hospital,Nasal Surgery,41,54,11.3,20.2
2009/2010,Fraser,Chilliwack General Hospital,Nerve Surgery,,,4,4
2009/2010,Fraser,Chilliwack General Hospital,Other Eye Surgery,,,4,4.6
2009/2010,Fraser,Chilliwack General Hospital,Other Joint Reconstruction,,10,26.6,42.5
2009/2010,Fraser,Chilliwack General Hospital,Other Orthopaedic Surgery,28,102,5.9,25.9
2009/2010,Fraser,Chilliwack General Hospital,Other Urology Surgery,13,31,2.1,9
2009/2010,Fraser,Chilliwack General Hospital,Prostate Surgery,31,111,7.3,18.9
2009/2010,Fraser,Chilliwack General Hospital,Rectal Surgery,,11,7.9,11.6
2009/2010,Fraser,Chilliwack General Hospital,Shoulder Surgery,16,16,9.8,14.1
2009/2010,Fraser,Chilliwack General Hospital,Sinus Surgery,24,50,9.9,19.4
2009/2010,Fraser,Chilliwack General Hospital,Skin Tumour Removal,5,64,5.1,16.5
2009/2010,Fraser,Chilliwack General Hospital,Sphincterotomy,,8,2.4,8
2009/2010,Fraser,Chilliwack General Hospital,Thyroidectomy,,5,3,3.5
2009/2010,Fraser,Chilliwack General Hospital,Tonsillectomy/Adenoidectomy,19,24,19.1,25.2
2009/2010,Fraser,Chilliwack General Hospital,Tympanoplasty,5,15,15.9,23.3
2009/2010,Fraser,Chilliwack General Hospital,Uterine Surgery,79,239,8.6,20.3
2009/2010,Fraser,Chilliwack General Hospital,Vaginal Repair,24,48,10.6,36.5
2009/2010,Fraser,Chilliwack General Hospital,Vascular Surgery - Other,,35,0.9,2.5
